file,category,year,month,county,metric,value
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,July,Abbeville,Pending first of month,221
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,August,Abbeville,Pending first of month,236
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,September,Abbeville,Pending first of month,232
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,October,Abbeville,Pending first of month,234
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,November,Abbeville,Pending first of month,234
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,December,Abbeville,Pending first of month,240
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,January,Abbeville,Pending first of month,244
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,February,Abbeville,Pending first of month,249
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,March,Abbeville,Pending first of month,246
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,April,Abbeville,Pending first of month,254
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,May,Abbeville,Pending first of month,260
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,June,Abbeville,Pending first of month,257
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,July,Abbeville,Added,30
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,August,Abbeville,Added,21
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,September,Abbeville,Added,19
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,October,Abbeville,Added,21
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,November,Abbeville,Added,18
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,December,Abbeville,Added,19
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,January,Abbeville,Added,23
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,February,Abbeville,Added,16
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,March,Abbeville,Added,25
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,April,Abbeville,Added,23
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,May,Abbeville,Added,14
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2009,June,Abbeville,Added,28
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,July,Abbeville,Disposed,15
estate_monthly_caseload_2008_to_2009.xlsx,Estate,2008,August,Abbeville,Disposed,25
